text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Wonder if Bryce Harper is watching #Game7? #WorldSeries,FALSE,0,NA,2019-10-31T00:31:01Z,FALSE,NA,1189701274024976390,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Minuteman04,0,FALSE,FALSE,NA,NA
"Dear @bryceharper3,
As you are watching and cheering on your former teammates, know the @Phillies phaithful will be… https://t.co/l3ulnFdyv3",FALSE,0,NA,2019-10-31T00:31:01Z,TRUE,NA,1189701271789473795,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bryanflorence,0,FALSE,FALSE,NA,NA
"Who got this? 

#WorldSeries #Game7",FALSE,0,NA,2019-10-31T00:31:01Z,FALSE,NA,1189701271462273024,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rustymk2,0,FALSE,FALSE,NA,NA
"@astros Y’all better win, because if I dont pass my test tomorrow, at least will be worth that I watched the game🤩… https://t.co/8bbJT77Udo",FALSE,0,astros,2019-10-31T00:31:01Z,TRUE,NA,1189701270946418694,52803520,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",karlaf95__,0,FALSE,FALSE,NA,NA
"RT @adamclanton: 19 pitches through two innings for Greinke. That was, like, two-thirds of an inning for Verlander last night. @astros #Nat…",FALSE,0,NA,2019-10-31T00:31:00Z,FALSE,NA,1189701269075775489,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",randycervantes,2,TRUE,FALSE,NA,NA
Normally I like John Smoltz but he’s too chatty for my taste tonight. #WorldSeries,FALSE,0,NA,2019-10-31T00:31:00Z,FALSE,NA,1189701268987613184,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PM_Runs,0,FALSE,FALSE,NA,NA
"RT @ClubAmerica_EN: Thank you for the gift, @astros‼

Best of luck tonight in Game Seven of the #WorldSeries  !

See you in November, Houst…",FALSE,0,NA,2019-10-31T00:31:00Z,FALSE,NA,1189701268777902080,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MichelleSY_22,92,TRUE,FALSE,NA,NA
"About to list these guys on #eBay.
$6 for the lot, ships tomorrow in a bubble mailer. #thehobby #collect… https://t.co/f7cNGeDW7b",FALSE,0,NA,2019-10-31T00:31:00Z,TRUE,NA,1189701268526288896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PSCShipping,0,FALSE,FALSE,NA,NA
"I still believe that @MattressMack has been to the future.

Prove me wrong.. #WorldSeries",FALSE,0,NA,2019-10-31T00:31:00Z,FALSE,NA,1189701268454948864,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GPark92,0,FALSE,FALSE,NA,NA
@JennArndt @TheKarinLee @ctvwinnipeg It’s a Fox production and I have some very bad news for you guys #WorldSeries,FALSE,0,JennArndt,2019-10-31T00:31:00Z,FALSE,1189700242553393158,1189701267691646976,23672504,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wpgtjross,0,FALSE,FALSE,NA,NA
RT @MLBONFOX: Minister of Culture in attendance for #WorldSeries Game 7! https://t.co/i8uWmKdiJL,FALSE,0,NA,2019-10-31T00:30:59Z,FALSE,NA,1189701265254690817,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_naayelyquiroz_,36,TRUE,FALSE,NA,NA
Yuli with yet again another great defensive play. Just give the man the Gold Glove already. #TakeItBack #WorldSeries,FALSE,2,NA,2019-10-31T00:30:59Z,FALSE,NA,1189701264634007552,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SportsTalk790,0,FALSE,FALSE,NA,NA
"Greinke rectifies a hit with a DP to keep the game scoreless!

#Astros 0, #Nats 0 l Mid 2

#MLB #WorldSeries #Game7",FALSE,0,NA,2019-10-31T00:30:59Z,FALSE,NA,1189701262440316928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",zachmo8000,0,FALSE,FALSE,NA,NA
"RT @Nationals: Go 1-0 today and we'll be 1-0 forever.

#WorldSeries // #STAYINTHEFIGHT https://t.co/TEQNAcc44e",FALSE,0,NA,2019-10-31T00:30:58Z,FALSE,NA,1189701261211385859,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Joseph_Morgan21,322,TRUE,FALSE,NA,NA
RT @MLB: Take the field with @ABREG_1 one last time in 2019. #WorldSeries https://t.co/5i0MJzcDbm,FALSE,0,NA,2019-10-31T00:30:58Z,FALSE,NA,1189701261127540741,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sydthekid_04,100,TRUE,FALSE,NA,NA
Zack Greinke has thrown 20 pitches through two scoreless innings in Game 7 of the #WorldSeries. Smooth glovework --… https://t.co/mT8OoYPDRe,FALSE,2,NA,2019-10-31T00:30:58Z,TRUE,NA,1189701260527583233,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ChronBrianSmith,0,FALSE,FALSE,NA,NA
#WorldSeries #Worldseriesgame7 #JoeBuck #juansoto #FoxSports https://t.co/XjUyWb0cWP,FALSE,0,NA,2019-10-31T00:30:58Z,FALSE,NA,1189701258199875586,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nacv_n,0,FALSE,FALSE,NA,NA
"Both teams look locked in, loose, and comfortable. Doesn’t get better than this. #WorldSeries",FALSE,0,NA,2019-10-31T00:30:58Z,FALSE,NA,1189701257788739584,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ROXSystem,0,FALSE,FALSE,NA,NA
"RT @travisakers: No matter who wins the #WorldSeries tonight, we’ll always have this moment of zen. https://t.co/gwlMUeUzU1",FALSE,0,NA,2019-10-31T00:30:58Z,FALSE,NA,1189701257721733120,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",berrywalden,15,TRUE,FALSE,NA,NA
"GAME 7. 
*my favorite two words when talking about sports*
#WorldSeries",FALSE,0,NA,2019-10-31T00:30:57Z,FALSE,NA,1189701256308281345,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lmurphy8,0,FALSE,FALSE,NA,NA
RT @MLB: Max is dialed in. #WorldSeries https://t.co/H2sZ5pHrX3,FALSE,0,NA,2019-10-31T00:30:57Z,FALSE,NA,1189701255167430656,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Demorris86,627,TRUE,FALSE,NA,NA
